Breaking the Law,Judas Priest,,,
Breath Kissing Matter's Mouth,Tangerine Dream,,,
Breathe,Abney Park,,,
Breathe,"McKee, Maria",,,
Breathe and Stop,Q-Tip,,,
Breathe Me,Sia,,,
Breathe!,Ministry,,,
Breathing,"Bush, Kate",,,
Breathing Fear,Kitchens of Distinction,,,
Breathing Machine,"Lockwood, Annea",,,
Breaths,Sweet Honey in the Rock,,,
Brianstorm,Arctic Monkeys,,,
Brick,"Folds, Ben",,,
Brickbat,"Bragg, Billy",,,
Bridge Over Troubled Water,Simon & Garfunkel,,,
Bridge Over Troubled Water,"Franklin, Aretha",,,
Bridges and Balloons,"Newsom, Joanna",,,
"Bright Lights, Big City","Reed, Jimmy",,,
Brimful of Asha,Cornershop,,,
Bring The Noise,Public Enemy and Anthrax,,,
British People in Hot Weather,Fall,,,
Broke and Hungry,"James, Skip",,,
Broken Bones and Pocket Change,St. Paul & the Broken Bones,,,
Broken English,"Faithfull, Marianne",,,
Broken Face,Pixies,,,
Broken Furniture,"Foxx, John & Louis Gordon",,,
Broken Heart,Spiritualized,,,
Broken Household Appliance National Forest,Grandaddy,,,
Broken Toys,22 Pistepirkko,,,
Bron-Y-Aur Stomp,Led Zeppelin,,,
Brother Louie,Hot Chocolate,,,
"Brother, Can You Spare a Dime?","Crosby, Bing",,,
Brown Eyed Girl,"Morrison, Van",,,
Brown Eyed Handsome Man,"Berry, Chuck",,,
Brrlak!,Zap Mama,,,
Bubbles in My Beer,"Jones, George",,,
Bud the Spud,"Connors, Stompin' Tom",,,
Buddy Bye,"Osbourne, Johnny",,,
Buenas Tardes Amigo,Ween,,,
Buenos Aires Beach,War on Drugs,,,
Buffalo Ballet,"Cale, John",,,
Bug Powder Dust,Bomb The Bass,,,
Build,Housemartins,,,
Building the City of Light,"Scott, Mike",,,
Bull in the Heather,Sonic Youth,,,
Bullet in the Head,Rage Against the Machine,,,
Bullets,Cloth,,,
Bullitt,"Schifrin, Lalo",,,
Burn and Rob,Paleface,,,
Burn Hollywood Burn,Public Enemy,,,
Burn Hollywood Burn,Public Enemy,,,
Burn the Witch,Queens of the Stone Age,,,
Burning Down the House,Talking Heads,,,
Burning Up,Madonna,,,
Bury My Heart at Wounded Knee,"Sainte-Marie, Buffy",,,
Bus Stop,Hollies,,,
Bushonomics,TalibKweli & Cornel West,,,
Busy Doin' Nothin',Beach Boys,,,
Busy Line,"Murphy, Rose",,,
Buttercup,Brad,,,
Buttercup (I'm a Super Girl),Shonen Knife,,,
Butterfly,"Walker, Scott",,,
Buy or Beware,Mellow Candle,,,
Buzzin' Fly,"Buckley, Tim",,,
By the Time I Get to Arizona,Public Enemy,,,
By the Time I Get to Phoenix,"Campbell, Glen",,,
By the Time I Get to Phoenix,"Hayes, Isaac",,,
BYOB,System of a Down,,,
