J'Accuse,Awadi
"My Moon, My Man (Boys Noize Remix)",Feist
My Mother Taught Me How to Waltz,"Johnson, Robb"
My Oklahoma Home,"Springsteen, Bruce & the Seeger Sessions Band"
My Old Home,K'Naan
My Old Man,"Mitchell, Joni"
My Old Man,"Dury, Ian"
My Pal Foot Foot,Shaggs
My Perfect Cousin,Undertones
My Pet Rat St. Michael,"Eitzel, Mark"
My Roof Has a Hole in It,"Barber, Miranda"
My Sharona,Knack
My Sister,Tindersticks
My Sweet Annette,Drive-By Truckers
My Sweet Lord,"Harrison, George"
My Year in Lists,Los Campesinos
Myfanwy,Morriston Orpheus Male Voice Choir
Myopic Books,American Music Club
Mystery Train,Little Junior's Blue Flames
